API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun May 14 05:40:44 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-31 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Dec-31 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 139.484444,35.300556,1.22238E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 139.484444,5211.22956,3665.13099 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230511.p230804                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-11. PREDICTS-> 2023-AUG-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
********************************************************************************
 Date__(UT)__HR:MN, , ,Azi_(a-app), Elev_(a-app),       phi,  PAB-LON,  PAB-LAT,
********************************************************************************
$$SOE
 2022-Dec-31 00:00,*, ,  49.327263,   -35.225370,   78.1339,  59.7622,  -1.6621,
 2022-Dec-31 01:00,*, ,  61.400631,   -25.347532,   77.5025,  60.1205,  -1.6502,
 2022-Dec-31 02:00,*, ,  71.287282,   -14.372079,   76.9057,  60.4610,  -1.6267,
 2022-Dec-31 03:00,*, ,  79.926733,    -2.756994,   76.3501,  60.7805,  -1.5907,
 2022-Dec-31 04:00,*,m,  88.075622,     9.195520,   75.8394,  61.0771,  -1.5425,
 2022-Dec-31 05:00,*,m,  96.442790,    21.242595,   75.3749,  61.3502,  -1.4828,
 2022-Dec-31 06:00,*,m, 105.887735,    33.118090,   74.9549,  61.6009,  -1.4135,
 2022-Dec-31 07:00,*,m, 117.736366,    44.416987,   74.5746,  61.8315,  -1.3370,
 2022-Dec-31 08:00,C,m, 134.276566,    54.355876,   74.2268,  62.0458,  -1.2563,
 2022-Dec-31 09:00,A,m, 158.651922,    61.304032,   73.9018,  62.2489,  -1.1747,
 2022-Dec-31 10:00, ,m, 189.944749,    62.775507,   73.5884,  62.4464,  -1.0958,
 2022-Dec-31 11:00, ,m, 218.149358,    58.012878,   73.2745,  62.6444,  -1.0227,
 2022-Dec-31 12:00, ,m, 237.884486,    49.208087,   72.9481,  62.8489,  -0.9585,
 2022-Dec-31 13:00, ,m, 251.572058,    38.496290,   72.5983,  63.0654,  -0.9053,
 2022-Dec-31 14:00, ,m, 262.038036,    26.978683,   72.2158,  63.2987,  -0.8645,
 2022-Dec-31 15:00, ,m, 270.977140,    15.198941,   71.7936,  63.5521,  -0.8365,
 2022-Dec-31 16:00, ,m, 279.415240,     3.484292,   71.3274,  63.8278,  -0.8210,
 2022-Dec-31 17:00, , , 288.102790,    -7.896180,   70.8161,  64.1263,  -0.8167,
 2022-Dec-31 18:00, , , 297.736972,   -18.639680,   70.2612,  64.4467,  -0.8214,
